events_file_path,class_index
Train/0/00002.bin,0
Train/0/00022.bin,0
Train/0/00035.bin,0
Train/0/00038.bin,0
Train/0/00052.bin,0
Train/0/00057.bin,0
Train/0/00064.bin,0
Train/0/00069.bin,0
Train/0/00070.bin,0
Train/0/00076.bin,0
Train/0/00082.bin,0
Train/0/00089.bin,0
Train/0/00096.bin,0
Train/0/00109.bin,0
Train/0/00115.bin,0
Train/0/00119.bin,0
Train/0/00120.bin,0
Train/0/00122.bin,0
Train/0/00157.bin,0
Train/0/00170.bin,0
Train/0/00193.bin,0
Train/0/00207.bin,0
Train/0/00210.bin,0
Train/0/00211.bin,0
Train/0/00217.bin,0
Train/0/00230.bin,0
Train/0/00233.bin,0
Train/0/00235.bin,0
Train/0/00247.bin,0
Train/0/00250.bin,0
Train/0/00261.bin,0
Train/0/00284.bin,0
Train/0/00294.bin,0
Train/0/00297.bin,0
Train/0/00304.bin,0
Train/0/00321.bin,0
Train/0/00327.bin,0
Train/0/00360.bin,0
Train/0/00400.bin,0
Train/0/00428.bin,0
Train/0/00430.bin,0
Train/0/00436.bin,0
Train/0/00441.bin,0
Train/0/00452.bin,0
Train/0/00454.bin,0
Train/0/00459.bin,0
Train/0/00463.bin,0
Train/0/00465.bin,0
Train/0/00474.bin,0
Train/0/00490.bin,0
Train/0/00520.bin,0
Train/0/00525.bin,0
Train/0/00527.bin,0
Train/0/00528.bin,0
Train/0/00543.bin,0
Train/0/00578.bin,0
Train/0/00583.bin,0
Train/0/00597.bin,0
Train/0/00604.bin,0
Train/0/00613.bin,0
Train/0/00634.bin,0
Train/0/00640.bin,0
Train/0/00657.bin,0
Train/0/00663.bin,0
Train/0/00667.bin,0
Train/0/00668.bin,0
Train/0/00669.bin,0
Train/0/00670.bin,0
Train/0/00690.bin,0
Train/0/00703.bin,0
Train/0/00710.bin,0
Train/0/00713.bin,0
Train/0/00734.bin,0
Train/0/00744.bin,0
Train/0/00746.bin,0
Train/0/00777.bin,0
Train/0/00782.bin,0
Train/0/00788.bin,0
Train/0/00791.bin,0
Train/0/00819.bin,0
Train/0/00826.bin,0
Train/0/00850.bin,0
Train/0/00860.bin,0
Train/0/00861.bin,0
Train/0/00870.bin,0
Train/0/00873.bin,0
Train/0/00890.bin,0
Train/0/00904.bin,0
Train/0/00928.bin,0
Train/0/00944.bin,0
Train/0/00950.bin,0
Train/0/00953.bin,0
Train/0/00958.bin,0
Train/0/00966.bin,0
Train/0/00980.bin,0
Train/0/00985.bin,0
Train/0/00998.bin,0
Train/0/01001.bin,0
Train/0/01016.bin,0
Train/0/01019.bin,0
Train/0/01029.bin,0
Train/0/01030.bin,0
Train/0/01041.bin,0
Train/0/01047.bin,0
Train/0/01050.bin,0
Train/0/01077.bin,0
Train/0/01079.bin,0
Train/0/01091.bin,0
Train/0/01094.bin,0
Train/0/01103.bin,0
Train/0/01108.bin,0
Train/0/01129.bin,0
Train/0/01138.bin,0
Train/0/01153.bin,0
Train/0/01169.bin,0
Train/0/01180.bin,0
Train/0/01196.bin,0
Train/0/01210.bin,0
Train/0/01269.bin,0
Train/0/01305.bin,0
Train/0/01311.bin,0
Train/0/01347.bin,0
Train/0/01350.bin,0
Train/0/01360.bin,0
Train/0/01364.bin,0
Train/0/01368.bin,0
Train/0/01369.bin,0
Train/0/01372.bin,0
Train/0/01373.bin,0
Train/0/01378.bin,0
Train/0/01387.bin,0
Train/0/01388.bin,0
Train/0/01404.bin,0
Train/0/01424.bin,0
Train/0/01444.bin,0
